,image,link,marketcap,name,price,symbol,time
66,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,/currencies/solana/,39200973158,Solana,131.80,SOL,20210928203155
67,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,/currencies/usd-coin/,31142856351,USD Coin,1.00,USDC,20210928203155
68,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,/currencies/polkadot-new/,26519467317,Polkadot,26.85,DOT,20210928203155
69,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,/currencies/dogecoin/,26230867000,Dogecoin,0.1995,DOGE,20210928203155
70,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,/currencies/bitcoin/,786923876162,Bitcoin,41793.37,BTC,20210928203225
71,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,/currencies/ethereum/,338193172001,Ethereum,2873.03,ETH,20210928203225
72,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,/currencies/tether/,68557845938,Tether,1.00,USDT,20210928203225
73,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,/currencies/cardano/,66523887421,Cardano,2.08,ADA,20210928203225
74,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,/currencies/binance-coin/,56698552651,Binance Coin,337.22,BNB,20210928203225
75,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,/currencies/xrp/,42674903524,XRP,0.9128,XRP,20210928203225
76,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,/currencies/solana/,39200973158,Solana,131.80,SOL,20210928203225
77,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,/currencies/usd-coin/,31142856351,USD Coin,1.00,USDC,20210928203225
78,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,/currencies/polkadot-new/,26519467317,Polkadot,26.85,DOT,20210928203225
79,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,/currencies/dogecoin/,26230867000,Dogecoin,0.1995,DOGE,20210928203225
80,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,/currencies/bitcoin/,789062952762,Bitcoin,41906.97,BTC,20210928162447
81,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,/currencies/ethereum/,339342627174,Ethereum,2882.79,ETH,20210928162447
82,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,/currencies/tether/,68560341747,Tether,1.00,USDT,20210928162447
83,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,/currencies/cardano/,66727636183,Cardano,2.08,ADA,20210928162447
84,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,/currencies/binance-coin/,56745610385,Binance Coin,337.50,BNB,20210928162447
85,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,/currencies/xrp/,42754274459,XRP,0.9145,XRP,20210928162447
86,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,/currencies/solana/,39404740486,Solana,132.49,SOL,20210928162447
87,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,/currencies/usd-coin/,31143295492,USD Coin,1.00,USDC,20210928162447
88,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,/currencies/polkadot-new/,26616435403,Polkadot,26.95,DOT,20210928162447
89,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,/currencies/dogecoin/,26328878669,Dogecoin,0.2003,DOGE,20210928162447
90,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,/currencies/bitcoin/,791929572507,Bitcoin,42073.84,BTC,20210921160454
91,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,/currencies/ethereum/,339992875714,Ethereum,2890.68,ETH,20210921160454
92,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,/currencies/tether/,68743991283,Tether,1.00,USDT,20210921160454
93,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,/currencies/cardano/,65827869027,Cardano,2.05,ADA,20210921160454
94,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,/currencies/binance-coin/,60339954007,Binance Coin,358.87,BNB,20210921160454
95,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,/currencies/xrp/,42201808935,XRP,0.9052,XRP,20210921160454
96,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,/currencies/solana/,38054039886,Solana,128.08,SOL,20210921160454
97,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,/currencies/usd-coin/,29505653002,USD Coin,1.00,USDC,20210921160454
98,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,/currencies/dogecoin/,27606831198,Dogecoin,0.2101,DOGE,20210921160454
99,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,/currencies/polkadot-new/,27415235676,Polkadot,27.76,DOT,20210921160454
100,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,/currencies/bitcoin/,786923876162,Bitcoin,41793.37,BTC,20210928203255
101,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,/currencies/ethereum/,338193172001,Ethereum,2873.03,ETH,20210928203255
102,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,/currencies/tether/,68557845938,Tether,1.00,USDT,20210928203255
103,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,/currencies/cardano/,66523887421,Cardano,2.08,ADA,20210928203255
104,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,/currencies/binance-coin/,56698552651,Binance Coin,337.22,BNB,20210928203255
105,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,/currencies/xrp/,42674903524,XRP,0.9128,XRP,20210928203255
106,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,/currencies/solana/,39200973158,Solana,131.80,SOL,20210928203255
107,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,/currencies/usd-coin/,31142856351,USD Coin,1.00,USDC,20210928203255
108,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,/currencies/polkadot-new/,26519467317,Polkadot,26.85,DOT,20210928203255
109,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,/currencies/dogecoin/,26230867000,Dogecoin,0.1995,DOGE,20210928203255
110,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,/currencies/bitcoin/,791929572507,Bitcoin,42073.84,BTC,20210921160423
111,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,/currencies/ethereum/,339992875714,Ethereum,2890.68,ETH,20210921160423
112,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,/currencies/tether/,68743991283,Tether,1.00,USDT,20210921160423
113,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,/currencies/cardano/,65827869027,Cardano,2.05,ADA,20210921160423
114,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,/currencies/binance-coin/,60339954007,Binance Coin,358.87,BNB,20210921160423
115,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,/currencies/xrp/,42201808935,XRP,0.9052,XRP,20210921160423
116,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,/currencies/solana/,38054039886,Solana,128.08,SOL,20210921160423
117,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,/currencies/usd-coin/,29505653002,USD Coin,1.00,USDC,20210921160423
118,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,/currencies/dogecoin/,27606831198,Dogecoin,0.2101,DOGE,20210921160423
119,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,/currencies/polkadot-new/,27415235676,Polkadot,27.76,DOT,20210921160423
